project_id,project_name,repo_url,resolved_commit,commit_source,effort_since,effort_until,actual_duration_months,duration_plausible,ksloc_code,ksloc_code_raw,generated_loc_excluded,generated_files_n,ksloc_all,pm_mid,pm_low,pm_high,active_dev_days,total_commits,distinct_authors,effort_reliable,top_langs,planned_fte,planned_duration_months,planned_pm,cost_usd,status,error_msg
AdMeta,AdMeta,https://github.com/AdMetaNetwork/admeta,d133bce5adaa41dc2acffa8f10b63928d22751b4,commit,2021-11-12,2022-12-13,13.01,1,2.6110,2.6110,0,0,3.3340,0.3684,0.1404,3.0,7,12,1,0,"{""Rust"": 2567, ""TOML"": 305, ""Markdown"": 266, ""YAML"": 129, ""Nix"": 30}",2.0,2.0,4.0,12000.0,OK,
Afloat,Afloat Tax Infrastructure Polkadot Integration,,,,,,,,,,,,,,,,,,,,,2.0,2.54,5.08,46200.0,NO_REPO,
AgriDot,AgriDot,https://github.com/kacena123/AgriDot,c54553b96181ed2a46c53c8c3073c5fe1c4c257a,commit,2024-12-06,2024-12-08,0.07,1,5.6840,5.7190,35,2,36.8300,0.0,0.0,0.0,0,0,0,0,"{""JSON"": 30310, ""TypeScript"": 5427, ""XML"": 325, ""SVG"": 176, ""Gradle"": 153}",1.0,4.0,4.0,10000.0,OK,
Coinversation,Coinversation,,,,,,,,,,,,,,,,,,,,,3.0,6.0,18.0,28000.0,NO_REPO,
Fennel_Protocol,Fennel Protocol,https://github.com/fennelLabs/Fennel-Protocol,29d21e896e7e735a07d385bcd8eb1c2167aa3246,cutoff,2020-11-17,2022-04-05,16.56,1,2.1670,2.2950,128,3,2.6690,1.0526,0.2966,10.0,20,37,2,1,"{""Rust"": 2096, ""TOML"": 306, ""Markdown"": 133, ""YAML"": 42, ""Bourne Shell"": 41}",3.0,3.0,9.0,50000.0,OK,
ParaSpell_follow_up,ParaSpell XCM SDK,https://github.com/paraspell/sdk,2747e85a0683fa652b8799365ac9cefd25251512,commit,2022-09-02,2022-12-01,2.96,1,1.3460,1.3460,0,0,10.2140,0.7368,0.2161,6.0,14,37,3,1,"{""YAML"": 6451, ""JSON"": 2261, ""TypeScript"": 1346, ""Markdown"": 141, ""INI"": 15}",1.0,2.0,2.0,10000.0,OK,
Roloi,Roloi,https://github.com/RoloiMoney/roloi-polkadot-w3f-grant,fe0b09f35794b36c5878439b1f9765a1c3941c71,cutoff,2022-06-11,2022-07-17,1.18,1,0.6680,0.6680,0,0,3.6960,0.0526,0.0132,1.0,1,1,1,0,"{""HTML"": 2242, ""Rust"": 527, ""Text"": 455, ""Markdown"": 199, ""JavaScript"": 141}",1.5,3.0,4.5,10000.0,OK,
Societal,Societal,https://github.com/sctllabs/societal-node,b2e83746e85c320e57de41a3c72c78e53f1925d2,cutoff,2022-08-25,2023-08-29,12.12,1,29.3470,30.5510,1319,11,34.2460,6.4211,2.6973,14.0,122,320,2,1,"{""Rust"": 29067, ""Markdown"": 2008, ""TOML"": 1631, ""JSON"": 653, ""YAML"": 565}",3.0,4.0,12.0,30000.0,OK,
Web3Go,Web3Go,,,,,,,,,,,,,,,,,,,,,2.0,3.0,6.0,40000.0,NO_REPO,
bright_treasury,Bright Treasury,https://github.com/bright/bright-tresury,689b6c08dde426701bbab2685043660dfa22518e,cutoff,2020-10-06,2021-12-29,14.75,1,47.6040,48.3080,704,2,63.9180,20.7895,8.5724,43.0,395,1010,8,1,"{""TypeScript"": 47127, ""JSON"": 14377, ""Markdown"": 849, ""SVG"": 483, ""JavaScript"": 208}",1.0,3.0,3.0,28500.0,OK,
fair_squares,Fair Squares,https://github.com/Fair-Squares/fair-squares,4af2375d2885bebe0b965429fae40aade69e9c30,cutoff,2022-02-20,2023-03-16,12.78,1,17.4050,17.7290,548,8,19.2550,9.8947,3.7768,38.0,188,379,5,1,"{""Rust"": 17014, ""TOML"": 974, ""JSON"": 409, ""Bourne Shell"": 361, ""Markdown"": 282}",2.5,5.0,12.5,48000.0,OK,
lastic,Lastic,https://github.com/LasticXYZ/LasticUI,65379d5039b0ca32f22ef083a79400ac7bda1f81,cutoff,2023-09-12,2024-05-02,7.65,1,9.6640,9.6640,0,0,21.2080,5.4737,2.8292,15.0,104,417,5,1,"{""YAML"": 10361, ""TypeScript"": 9621, ""SVG"": 563, ""CSS"": 234, ""Markdown"": 208}",2.0,3.0,6.0,30000.0,OK,
tdot,tDOT,,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,14000.0,NO_REPO,
