network,proposal_type,index,title,stated_pm,pm_basis,planned_fte,team_size,duration_months,n_github_repos,github_repos,requested_dot,confidence,url
polkadot,treasury,809,Open-Source Registrar Development Continuity,3.68,fte*duration,4.0,,0.92,11,paritytech/subxt;rotkonetworks/unlabored;rotkonetworks/snitch;rotkonetworks/genpeerid;ibp-network/config;rotkonetworks/polka.run;hitchhooker/polkavm;rotkonetworks/w3reg.org,2737.9,HIGH,https://polkadot.subsquare.io/treasury/proposals/809
kusama,treasury,81,Patract’s treasury proposal for Ask! v0.2 (ink! in AssemblyScript),6.9,fte*duration,3.0,,2.3,8,patractlabs/ask;paritytech/ink;type-metadata/type-metadata;paritytech/scale-info;patractlabs/go-patract;patractlabs/py-patract;patractlabs/patractj;patractlabs/csharp-patract,44000.0,HIGH,https://kusama.subsquare.io/treasury/proposals/81
polkadot,gov2,1509,Substrate Asset Game Engine (SAGE),2.0,fte*duration,2.0,,1.0,7,ajuna-network/Ajuna.SAGE.Core;ajuna-network/Ajuna.SAGE;ajuna-network/ajuna-pallets;ajuna-network/sage-playground;ajuna-network/Ajuna.SAGE.Game.FullHouseFury;ajuna-network/Grants-Program;w3f/Grants-Pro,,HIGH,https://polkadot.subsquare.io/referenda/1509
kusama,treasury,66,Patract Hub's proposal for Ask! v0.1 (ink! in AssemblyScript),15.0,fte*duration,3.0,,5.0,5,paritytech/as-substrate;slickup/subscript;patractlabs/ask;paritytech/cargo-contract;patractlabs/metis,166100.0,HIGH,https://kusama.subsquare.io/treasury/proposals/66
polkadot,gov2,1225,[Retroactive] Subsquare 12 months maintenance and common features development,72.0,fte*duration,6.0,,12.0,2,user-attachments/assets;opensquare-network/subsquare,,HIGH,https://polkadot.subsquare.io/referenda/1225
polkadot,gov2,1123,ink! Alliance for a more successful Plaza,120.0,fte*duration,20.0,,6.0,2,inkdevhub/drink;use-ink/cargo-contract,,HIGH,https://polkadot.subsquare.io/referenda/1123
kusama,treasury,56,"Treasury proposal: SubBooster, an open source remote compiling tool for Substrate develope",4.0,fte*duration,2.0,,2.0,2,sub-box/SubBox;sub-box/sub-box,127600.0,HIGH,https://kusama.subsquare.io/treasury/proposals/56
kusama,treasury,57,Patract's treasury proposal about Metis M1 (ink! and Ask! Standard Library),3.45,fte*duration,3.0,,1.15,2,patractlabs/metis;paritytech/ink,311658.0,HIGH,https://kusama.subsquare.io/treasury/proposals/57
polkadot,treasury,749,Runtime Verification: Advanced Rust Property Test Verification for Polkadot Ecosystem,18.0,fte*duration,3.0,,6.0,1,w3f/Grants-Program,75142.0,HIGH,https://polkadot.subsquare.io/treasury/proposals/749
polkadot,treasury,362,Bagpipes - Powerful No-code Cross-Chain XCM Dapp and Workflow Builder for the Polkadot Eco,40.0,fte*duration,5.0,,8.0,1,Koniverse/SubConnect,25910.7,HIGH,https://polkadot.subsquare.io/treasury/proposals/362
polkadot,gov2,1612,Subsquare new batch of features development and maintenance,2.07,fte*duration,3.0,,0.69,1,opensquare-network/subsquare,,HIGH,https://polkadot.subsquare.io/referenda/1612
kusama,treasury,103,dotreasury maintenance from 05.2021 to 07.2021 and part of M3 features development,3.0,fte*duration,1.0,,3.0,1,opensquare-network/dotreasury,3866.0,HIGH,https://kusama.subsquare.io/treasury/proposals/103
polkadot,treasury,162,Polkadot Live: Proposal for funding community driven development to initial release.,12.0,fte*duration,1.0,,12.0,0,,24937.0,MED,https://polkadot.subsquare.io/treasury/proposals/162
polkadot,treasury,336,"Subsquare and dotreasury new features development plan including governance statistics, do",0.92,fte*duration,2.0,,0.46,0,,36969.0,MED,https://polkadot.subsquare.io/treasury/proposals/336
polkadot,gov2,1821,Bitcoin + Polkadot: Completing the BRC-721 Integration to Scale Bitcoin NFTs via Polkadot ,4.6,fte*duration,1.0,,4.6,0,,,MED,https://polkadot.subsquare.io/referenda/1821
polkadot,gov2,1580,Epico: Ethereum Wallet Compatibility for Polkadot SDK Chains,15.0,fte*duration,5.0,,3.0,0,,,MED,https://polkadot.subsquare.io/referenda/1580
polkadot,gov2,1404,QMDB Core Integration for Substrate Storage Enhancement,1.38,team*duration,,2.0,0.69,3,LayerZero-Labs/qmdb;QuantumFusion-network/spec;kaonone/polkahub-monorepo,,LOW,https://polkadot.subsquare.io/referenda/1404
polkadot,gov2,1232,Talisman Wallet and Portal Retroactive Funding,85.56,team*duration,,12.0,7.13,3,TalismanSociety/talisman;TalismanSociety/talisman-web;TalismanSociety/chaindata,,LOW,https://polkadot.subsquare.io/referenda/1232
polkadot,gov2,1523,Developing Polkadot Humanoid Robot SDK at Cyberpunk Lab,72.0,team*duration,,6.0,12.0,0,,,LOW,https://polkadot.subsquare.io/referenda/1523
